,Date Time,Day of Week,Object 1,Object 2,Street Number,Street Name,Cross Street,Near Street,Location,May involve cyclist,May Involve Pedestrian,Manner of Collision,First Harmful Event Location,First Harmful Event,Ambient Light,Weather Condition 1,Weather Condition 2,Traffic Control Device Type,Traffic Control Device Functionality,Road Surface Condition,Roadway Junction Type,Trafficway Description,School Bus Related,Work Zone,Speed Limit,Street or Intersection,Intersection Name 1,Intersection Direction 1,Intersection Name 2,Intersection Direction 2,Intersection Name 3,Intersection Direction 3,Street Direction,Nearest Intersection Distance,Nearest Intersection Direction,Landmark Distance,Landmark Direction,Landmark,Mile Marker Direction,Non Public Area,Road Contributing,Damaged Property Type,Description of Damaged Property,V1 Registration Type,v1 State Code,V1 Configuration,V1 Emergency Response,V1 Moped,V1 Hit and Run,V1 Action Prior to Crash,V1 Model Year,V1 Most Harmful Event,V1 Model,V1 Make,V1 Occupant Count,V1 Underride Override,V1 First Event,V1 Second Event,V1 Third Event,V1 Fourth Event,V1 Most Damaged Area,V1 Second Damaged Area,V1 Third Damaged Area,V1 Towed,V1 Travel Direction,V1 Interstate,V1 Cargo Body Type,V1 Gross Weight,V1 Haz Placard,V1 Haz Release,V1 Trailer Reg Type,V1 Trailer Reg Plate,V1 Trailer Reg State,V1 Trailer Reg Year,V1 Trailer Len,V1 Driver Contribution,V1 Driver Contribution 2,V1 Is Truck,V1 Has Trailer,V1 Is Bus,V1 Is Hazmat,V1 Reg Year,V1 Driver Distracted,V1 Bus Use,V1 Tow Use,V2 Registration Type,V2 State Code,V2 Configuration,V2 Emergency Response,V2 Moped,V2 Hit and Run,V2 Action Prior to Crash,V2 Model Year,V2 Most Harmful Event,V2 Model,V2 Make,V2 Occupant Count,V2 Underride Override,V2 First Event,V2 Second Event,V2 Third Event,V2 Fourth Event,V2 Most Damaged Area,V2 Second Damaged Area,V2 Third Damaged Area,V2 Towed,V2 Travel Direction,V2 Interstate,V2 Cargo Body Type,V2 Gross Weight,V2 Haz Placard,V2 Haz Release,V2 Trailer Reg Type,V2 Trailer Reg Plate,V2 Trailer Reg State,V2 Trailer Reg Year,V2 Trailer Len,V2 Driver Contribution,V2 Driver Contribution 2,V2 Is Truck,V2 Has Trailer,V2 Is Bus,V2 Is Hazmat,V2 Reg Year,V2 Driver Distracted,V2 Bus Use,V2 Tow Use,P1 Role,P1 Injury,P1 Drivers Lic State,P1 Drivers Lic Class 1,P1 Drivers Lic Class 2,P1 Drivers Lic Restrict,P1 Non Motorist Desc,P1 Non Motorist Action,P1 Non Motorist Location,P1 Safety Equipment,P1 Age,P1 Sex,P1 Seat Position,P1 Safety System,P1 Trapped,P1 Veh Owner,P2 Role,P2 Injury,P2 Drivers Lic State,P2 Drivers Lic Class 1,P2 Drivers Lic Class 2,P2 Drivers Lic Restrict,P2 Non Motorist Desc,P2 Non Motorist Action,P2 Non Motorist Location,P2 Safety Equipment,P2 Age,P2 Sex,P2 Seat Position,P2 Safety System,P2 Trapped,P2 Veh Owner
4820,11/22/2017 06:17:00 PM,Wednesday,PASSENGER CAR,,589,MASSACHUSETTS AVE,,ESSEX STREET,"589 MASSACHUSETTS AVE
Cambridge, MA
(42.36497, -71.102992)",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DUSK,CLOUDY,RAIN,TRAFFIC CONTROL SIGNAL,YES,WET,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,EASTBOUND,,,CAFE NERO,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2010.0,COLLISION WITH PEDALCYCLE,ACCORD,HONDA,2.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,NORTHBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,,,,Y,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,,,,,CYCLIST,,,REFLECTIVE CLOTHING,,MALE,,,,
4827,07/27/2017 07:45:00 PM,Thursday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,MEMORIAL DRIVE,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,REAR-END,ROADWAY,COLLISION WITH PEDALCYCLE,DUSK,CLEAR,,NO CONTROLS,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,,MEMORIAL DRIVE,,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,Y,TRAVELING STRAIGHT AHEAD,2017.0,COLLISION WITH PEDALCYCLE,FUSION,FORD,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT FRONT,,,N,NORTHBOUND,,,,,,,,,,,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS,",,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,FEMALE,,,,,WITNESS,,,,,,,,,,,FEMALE,,,,
4890,09/04/2018 09:45:00 AM,Tuesday,PASSENGER CAR,,,MASSACHUSETTS AVE,BEECH ST,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,SOUTHBOUND,BEECH ST,EASTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,2013.0,COLLISION WITH PEDALCYCLE,FIT,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,CENTER FRONT,RIGHT FRONT,RIGHT SIDE,N,SOUTHBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,IN ROADWAY,HELMET,,MALE,,,,
4946,05/11/2017 07:12:00 PM,Thursday,PASSENGER CAR,,,MASS AVE,MILTON ST,,"MASS AVE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PARKED MOTOR VEHICLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASS AVE,,MILTON ST,,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2007.0,COLLISION WITH PEDALCYCLE,JETTA,VOLKSWAGEN,2.0,,COLLISION WITH PEDALCYCLE,,,,NONE,,,N,,,,,,,,,,,,OTHER IMPROPER ACTION,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,UNKNOWN,,MALE,,,,,OPERATOR/DRIVER,NO INJURY,,"D, CLASS D VEHICLES",,CORRECTIVE LENSES,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",NONE USED - VEHICLE OCCUPANT,NOT TRAPPED,
4951,09/19/2017 12:51:00 PM,Tuesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,64,MASSACHUSETTS AVENUE,,AMHERST STREET,"64 MASSACHUSETTS AVENUE
Cambridge, MA
(42.358698, -71.093357)",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLOUDY,RAIN,NO CONTROLS,,WET,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,NON INTERSECTION,,,,,,,EASTBOUND,50FT,EASTBOUND,,,,,,NONE,,,PAN,RI,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,LEAVING TRAFFIC LANE,2008.0,COLLISION WITH PEDALCYCLE,SIENNA,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,EASTBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,RHODE ISLAND,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,ILLINOIS,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,UNKNOWN,,MALE,,,,
5019,08/14/2018 11:55:00 AM,Tuesday,PASSENGER CAR,,,MASSACHUSETTS AVE,LANCASTER,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,T-INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,SOUTHBOUND,LANCASTER,WESTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2014.0,COLLISION WITH PEDALCYCLE,CAMRY,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,LEFT SIDE,,,N,SOUTHBOUND,,,,,,,,,,,INATTENTION,OTHER IMPROPER ACTION,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,FEMALE,,,,
5037,09/01/2019 01:34:00 PM,Sunday,PASSENGER CAR,,,MASSACHUSETTS AVE,HARVARD ST,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,FOUR WAY INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,NORTHBOUND,HARVARD ST,EASTBOUND,,,,,,,,,,,NONE,OTHER,EXCELLE LOTUS BICYCLE GREY,PAN,MA,PASSENGER CAR,N,,,TURNING RIGHT,1996.0,COLLISION WITH PEDALCYCLE,ACCORD,HONDA,1.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT REAR,,,N,UNKNOWN,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO APPARENT INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,,NON-MOTORIST,SUSPECTED MINOR INJURY,,UNKNOWN,,UNKNOWN,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,IN ROADWAY,NONE USED,,MALE,,,,
5064,03/28/2019 05:23:00 PM,Thursday,PASSENGER CAR,,2343,MASS AVE,,SHEA ROAD,"2343 MASS AVE
Cambridge, MA
(42.396118, -71.128721)",1.0,,ANGLE,ROADWAY,COLLISION WITH OTHER MOVABLE OBJECT,DAYLIGHT,CLEAR,,NO CONTROLS,,DRY,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,NON INTERSECTION,,,,,,,NORTHBOUND,,EASTBOUND,,,,,,NONE,,,PASS,CT,PASSENGER CAR,N,,,PARKED,2014.0,COLLISION WITH OTHER MOVABLE OBJECT,CIVIC LX,HONDA,1.0,,COLLISION WITH OTHER MOVABLE OBJECT,,,,LEFT FRONT,,,N,NORTHBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,NEVADA,"C, CLASS C VEHICLES",,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,NON-MOTORIST,NON FATAL INJURY - NON INCAPACITATING,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,HELMET,,MALE,,,,
5080,10/02/2017 03:00:00 PM,Monday,PASSENGER CAR,,,MASS AVE,CAMERON AVE,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, DIVIDED, POSITIVE MEDIAN BARRIER",NO,NO,25,INTERSECTION,MASS AVE,WESTBOUND,CAMERON AVE,NORTHBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TURNING LEFT,1999.0,COLLISION WITH PEDALCYCLE,3.2,ACURA,2.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT SIDE,,,N,NORTHBOUND,,,,,,,,,,,FAILED TO YIELD THE RIGHT OF WAY,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,OCCUPANT/PASSENGER,NO INJURY,,,,,,,,,,FEMALE,FRONT SEAT - RIGHT SIDE,UNKNOWN,NOT TRAPPED,
5110,05/21/2019 10:39:00 AM,Tuesday,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",,,MASSACHUSETTS AVENUE,MASSACHUSETTS AVENUE,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,"SIDESWIPE, OPPOSITE DIRECTION",ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLEAR,CLEAR,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,EASTBOUND,MASSACHUSETTS AVENUE,EASTBOUND,,,,,,,,,,,NONE,,,PAS,MA,"SINGLE UNIT TRUCK (2 AXLES, 6 TIRES)",N,,,TURNING LEFT,2015.0,COLLISION WITH PEDALCYCLE,HINO 268,HINO,1.0,,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,REAR CENTER,NONE,NONE,N,WESTBOUND,,,,,,,,,,,MADE AN IMPROPER TURN,MADE AN IMPROPER TURN,,,,,,NOT DISTRACTED,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO APPARENT INJURY,CONNECTICUT,"D, CLASS D VEHICLES",,NONE,,,,,38.0,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,,NON-MOTORIST,SUSPECTED MINOR INJURY,,,,,CYCLIST,ENTERING OR CROSSING SPECIFIED LOCATION,AT INTERSECTION BUT NO CROSSWALK,HELMET,71.0,MALE,,,,
5153,07/21/2019 02:09:00 PM,Sunday,PASSENGER CAR,,,MASSACHUSETTS AVENUE,DOUGLASS STREET,,"MASSACHUSETTS AVENUE
Cambridge, MA",1.0,,"SIDESWIPE, SAME DIRECTION",ROADWAY,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DAYLIGHT,CLEAR,CLEAR,TRAFFIC CONTROL SIGNAL,YES,DRY,T-INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASSACHUSETTS AVENUE,NORTHBOUND,DOUGLASS STREET,EASTBOUND,,,,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,SLOWING OR STOPPED IN TRAFFIC,2013.0,COLLISION WITH PEDALCYCLE,M37,INFINITE,3.0,,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,RIGHT SIDE,RIGHT SIDE,RIGHT SIDE,N,NORTHBOUND,,,,,,,,,,,NO IMPROPER DRIVING,NO IMPROPER DRIVING,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO APPARENT INJURY,MASSACHUSETTS,"C, CLASS C VEHICLES",,NONE,,,,,31.0,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",SHOULDER AND LAP BELT USED,NOT TRAPPED,Y,NON-MOTORIST,POSSIBLE INJURY,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",IN ROADWAY,NONE USED,20.0,MALE,,,,
5159,08/16/2018 09:15:00 AM,Thursday,PASSENGER CAR,,12,ELLERY STREET,,MASSACHUSETTS AVE,"12 ELLERY STREET
Cambridge, MA
(42.370502, -71.111232)",1.0,,ANGLE,ROADSIDE,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DAYLIGHT,CLEAR,,NO CONTROLS,YES,DRY,NOT AT INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,WESTBOUND,,,,,,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,ENTERING TRAFFIC LANE,2016.0,COLLISION WITH PEDALCYCLE,YARIS,TOYOTA,1.0,,COLLISION WITH PEDALCYCLE,,,,UNKNOWN,,,N,WESTBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,NON-MOTORIST,NON FATAL INJURY - POSSIBLE,,,,,CYCLIST,"WALKING, RUNNING OR CYCLING",SIDEWALK,UNKNOWN,,MALE,,,,
5184,09/25/2017 01:15:00 PM,Monday,PASSENGER CAR,PASSENGER CAR,301,MASSACHUSETTS AVE,,STATE STREET,"301 MASSACHUSETTS AVE
Cambridge, MA
(42.362197, -71.098323)",1.0,,REAR-END,ROADSIDE,COLLISION WITH PARKED MOTOR VEHICLE,DAYLIGHT,CLEAR,,NO CONTROLS,YES,DRY,NOT AT INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,NON INTERSECTION,,,,,,,WESTBOUND,,,,,NACO TACO,,,NONE,,,PAN,MA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,2008.0,OTHER NON-COLLISION,335I,BMW,2.0,,OTHER NON-COLLISION,,,,NONE,,,N,WESTBOUND,,,,,,,,,,,UNKNOWN,,,,,,,UNKNOWN,,,PAN,MA,PASSENGER CAR,N,,,PARKED,2012,COLLISION WITH PEDALCYCLE,GOLF,VOLKSWAGGON,0.0,,COLLISION WITH PEDALCYCLE,,,,RIGHT REAR,,,N,WESTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"A, CLASS A VEHICLES",,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,UNINVOLVED OWNER,,MASSACHUSETTS,UNKNOWN,,UNKNOWN,,,,,,MALE,,,,Y
5265,08/15/2017 01:08:00 PM,Tuesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,,TROWBRIDGE STREET,MASS AVE,,"TROWBRIDGE STREET
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,DAYLIGHT,CLEAR,CLEAR,TRAFFIC CONTROL SIGNAL,YES,DRY,T-INTERSECTION,"ONE-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,TROWBRIDGE STREET,EASTBOUND,MASS AVE,NORTHBOUND,PUTNAM AVE,SOUTHBOUND,,,,,,,,,NONE,,,CON,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,TURNING RIGHT,2010.0,COLLISION WITH PEDALCYCLE,VAN,CHEV,1.0,,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,COLLISION WITH PEDALCYCLE,NONE,,,N,EASTBOUND,,,,,,,,,,,INATTENTION,MADE AN IMPROPER TURN,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,,UNINVOLVED OWNER,NO INJURY,,,,,,,,,,UNKNOWN,,,,Y
5269,02/21/2018 03:47:00 PM,Wednesday,PASSENGER CAR,,,MASS AVE,MEMORIAL DRIVE,,"MASS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,OTHER,DAYLIGHT,CLEAR,CLEAR,TRAFFIC CONTROL SIGNAL,YES,DRY,FOUR WAY INTERSECTION,"TWO-WAY, NOT DIVIDED",NO,NO,25,INTERSECTION,MASS AVE,EASTBOUND,MEMORIAL DRIVE,WESTBOUND,,,,,,,,,,,UNKNOWN,,,UNK,YT,PASSENGER CAR,N,,Y,TRAVELING STRAIGHT AHEAD,,COLLISION WITH PEDALCYCLE,UNK,UNK,1.0,,COLLISION WITH PEDALCYCLE,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,COLLISION WITH MOTOR VEHICLE IN TRAFFIC,UNKNOWN,,,N,WESTBOUND,,,,,,,,,,,UNKNOWN,UNKNOWN,,,,,,UNKNOWN,,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NON-MOTORIST,NO INJURY,,,,,,,,,,FEMALE,,,,,,,,,,,,,,,,,,,,
5284,10/03/2018 01:23:00 PM,Wednesday,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",,1350,MASSACHUSETTS AVENUE,,DUNSTER/HOLYOKE STREET,"1350 MASSACHUSETTS AVENUE
Cambridge, MA
(42.373241, -71.118336)",1.0,,SINGLE VEHICLE CRASH,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLOUDY,CLOUDY,TRAFFIC CONTROL SIGNAL,YES,WET,NOT AT INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,20,NON INTERSECTION,,,,,,,WESTBOUND,,,,,HARVARD WADSWORTH HOUSE,,,NONE,,,PAN,MA,"LIGHT TRUCK(VAN, MINI VAN, PICK-UP, SPORT UTILITY)",N,,,SLOWING OR STOPPED IN TRAFFIC,2011.0,COLLISION WITH OTHER MOVABLE OBJECT,HIGHLANDER,TOYOTA,2.0,,COLLISION WITH OTHER MOVABLE OBJECT,,,,RIGHT SIDE,,,N,WESTBOUND,,,,,,,,,,,NO IMPROPER DRIVING,,,,,,,NOT DISTRACTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,MASSACHUSETTS,"D, CLASS D VEHICLES",,NONE,,,,,,FEMALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,OCCUPANT/PASSENGER,NO INJURY,FLORIDA,,,,,,,,,MALE,FRONT SEAT - RIGHT SIDE,UNKNOWN,NOT TRAPPED,
5297,08/12/2018 08:58:00 PM,Sunday,PASSENGER CAR,,,MASSACHUSETTS AVE,CEDAR STREET,,"MASSACHUSETTS AVE
Cambridge, MA",1.0,,ANGLE,ROADWAY,COLLISION WITH PEDALCYCLE,DAYLIGHT,CLOUDY,,TRAFFIC CONTROL SIGNAL,YES,WET,T-INTERSECTION,"TWO-WAY, DIVIDED, UNPROTECTED MEDIAN",NO,NO,25,INTERSECTION,MASSACHUSETTS AVE,WESTBOUND,CEDAR STREET,NORTHBOUND,,,,,,,,,,,NONE,,,PAN,VA,PASSENGER CAR,N,,,TRAVELING STRAIGHT AHEAD,2013.0,COLLISION WITH PEDALCYCLE,CAMRY,TOYOTA,2.0,,COLLISION WITH PEDALCYCLE,,,,CENTER FRONT,,,N,WESTBOUND,,,,,,,,,,,UNKNOWN,UNKNOWN,,,,,,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPERATOR/DRIVER,NO INJURY,VIRGINIA,"D, CLASS D VEHICLES",,UNKNOWN,,,,,,MALE,"FRONT SEAT - LEFT SIDE, OR MOTORCYLE DRIVER",UNKNOWN,NOT TRAPPED,Y,OCCUPANT/PASSENGER,NO INJURY,,,,,,,,,,FEMALE,SECOND SEAT - RIGHT SIDE,UNKNOWN,NOT TRAPPED,
